,isl_pkc,ship_pkc,isl_exp,ship_exp,isl_blc,ship_blc,both_pkc,both_exp,both_blc,choice,expert,group
84,1,1,9,9,1.5,1.5,1,9,1.5,1,1,Optimal/Expert
85,3,5,6,5,3,6,4,5.5,4.5,1,1,Optimal/Expert
86,1,1,5,9,1,1,1,7,1,1,1,Optimal/Expert
87,1.5,1,8,8,1,1,1.25,8,1,1,1,Optimal/Expert
88,2,2,8,8,1,1,2,8,1,1,1,Optimal/Expert
89,1,2,9,8,1.5,3,1.5,8.5,2.25,1,1,Optimal/Expert
90,3,3,9,9,1,1,3,9,1,1,1,Optimal/Expert
91,2,2.5,8,9,1,1,2.25,8.5,1,1,1,Optimal/Expert
92,1,2,6,9,1,1,1.5,7.5,1,1,1,Optimal/Expert
93,1,1,9,9,1,1,1,9,1,1,1,Optimal/Expert
94,1,1,5,5,1,1,1,5,1,1,1,Optimal/Expert
95,2,4.5,8,8,1,1,3.25,8,1,1,1,Optimal/Expert
96,2,2,8,8,1,1,2,8,1,1,1,Optimal/Expert
97,1,1,9,9,1,1,1,9,1,1,1,Optimal/Expert
98,5.5,6.5,8,8,3.5,6.5,6,8,5,1,1,Optimal/Expert
99,1,1,5,7,1,1,1,6,1,1,1,Optimal/Expert
100,4.5,4.5,7,9,1,2.5,4.5,8,1.75,1,1,Optimal/Expert
101,1,3,9,9,1,1,2,9,1,1,1,Optimal/Expert
102,1,1,9,9,1,1,1,9,1,1,1,Optimal/Expert
103,2,1.5,9,9,2,2,1.75,9,2,1,1,Optimal/Expert
104,7,5,7,7,4.5,4.5,6,7,4.5,1,1,Optimal/Expert
105,2,2.5,8,8,1,1,2.25,8,1,1,1,Optimal/Expert
106,1,1,9,9,1,1,1,9,1,1,1,Optimal/Expert
107,1.5,1.5,8,8,1.5,1.5,1.5,8,1.5,1,1,Optimal/Expert
108,2.5,3,8,7,2,3,2.75,7.5,2.5,1,1,Optimal/Expert
109,4.5,5.5,7,7,5,6.5,5,7,5.75,1,1,Optimal/Expert
110,5,5.5,8,6,1,2,5.25,7,1.5,1,1,Optimal/Expert
111,1,1,9,9,1,1,1,9,1,1,1,Optimal/Expert
112,1,1,9,9,1,1,1,9,1,1,1,Optimal/Expert
113,4,1,5,6,6,3.5,2.5,5.5,4.75,1,1,Optimal/Expert
114,4.5,5.5,5,4,5,5,5,4.5,5,1,1,Optimal/Expert
115,1,1.5,9,9,1,1,1.25,9,1,1,1,Optimal/Expert
116,1,1,9,9,1,1,1,9,1,1,1,Optimal/Expert
117,1,1,9,9,1,1,1,9,1,1,1,Optimal/Expert
118,2,1,9,9,1,1,1.5,9,1,1,1,Optimal/Expert
119,1,1,9,9,1,1,1,9,1,1,1,Optimal/Expert
120,1,1,9,9,1,1,1,9,1,1,1,Optimal/Expert
121,2,2,9,9,4,4.5,2,9,4.25,1,1,Optimal/Expert
122,6.5,4.5,6,7,3.5,1.5,5.5,6.5,2.5,1,1,Optimal/Expert
123,5,4.5,5,4,5.5,7,4.75,4.5,6.25,1,1,Optimal/Expert
124,1,1.5,8,5,1,1,1.25,6.5,1,1,1,Optimal/Expert
125,2.5,1,8,5,1,1,1.75,6.5,1,1,1,Optimal/Expert
126,1,1,9,9,1,1,1,9,1,1,1,Optimal/Expert
127,4,4.5,6,7,3.5,3,4.25,6.5,3.25,1,1,Optimal/Expert
128,1,1,9,9,1,1,1,9,1,1,1,Optimal/Expert
129,1,1,9,9,1,1,1,9,1,1,1,Optimal/Expert
130,3.5,1,7,8,2,1,2.25,7.5,1.5,1,1,Optimal/Expert
131,2.5,2.5,7,7,2,2,2.5,7,2,1,1,Optimal/Expert
132,1,1,8,8,1,1,1,8,1,1,1,Optimal/Expert
133,3.5,3.5,9,9,1,1,3.5,9,1,1,1,Optimal/Expert
134,2,3,8,8,1,1,2.5,8,1,1,1,Optimal/Expert
135,1,1,8,9,1,1,1,8.5,1,1,1,Optimal/Expert
136,1.5,1.5,9,9,1,1,1.5,9,1,1,1,Optimal/Expert
137,1,1.5,8,8,1,1,1.25,8,1,1,1,Optimal/Expert
138,1,1,9,9,1,1,1,9,1,1,1,Optimal/Expert
139,1,1,9,9,1,1,1,9,1,1,1,Optimal/Expert
140,1,1,8,9,1,1,1,8.5,1,1,1,Optimal/Expert
141,4,1,6,8,1,1,2.5,7,1,1,1,Optimal/Expert
142,1,1,9,9,1,1,1,9,1,1,1,Optimal/Expert
143,3,3,5,9,1,1,3,7,1,1,1,Optimal/Expert
144,1,1,9,9,1,1,1,9,1,1,1,Optimal/Expert
145,2.5,2,7,8,2,2,2.25,7.5,2,1,1,Optimal/Expert
146,3.5,3,9,9,2,1.5,3.25,9,1.75,1,1,Optimal/Expert
147,5.5,4.5,6,6,2,2,5,6,2,1,1,Optimal/Expert
148,1.5,2,7,7,1,1,1.75,7,1,1,1,Optimal/Expert
