,isl_pkc,ship_pkc,isl_exp,ship_exp,isl_blc,ship_blc,both_pkc,both_exp,both_blc,choice,expert,group
311,1.5,2,8,8,2,2,1.75,8,2,1,2,Optimal/Non-Expert
312,1.5,1.5,5,6,1,1,1.5,5.5,1,1,2,Optimal/Non-Expert
313,1,1,9,9,1,1,1,9,1,1,2,Optimal/Non-Expert
314,1.5,1.5,9,9,1,1,1.5,9,1,1,2,Optimal/Non-Expert
315,1,3.5,9,5,1,2,2.25,7,1.5,1,2,Optimal/Non-Expert
316,2,3,6,5,3,2.5,2.5,5.5,2.75,1,2,Optimal/Non-Expert
317,3,1,8,9,1,1,2,8.5,1,1,2,Optimal/Non-Expert
318,1,1,9,9,1,1,1,9,1,1,2,Optimal/Non-Expert
319,8,7,4,6,4,5,7.5,5,4.5,1,2,Optimal/Non-Expert
320,1,1,9,9,1,1,1,9,1,1,2,Optimal/Non-Expert
321,2,1,9,9,1,1,1.5,9,1,1,2,Optimal/Non-Expert
322,2,1.5,5,7,1.5,1,1.75,6,1.25,1,2,Optimal/Non-Expert
323,4,1.5,9,8,1,1,2.75,8.5,1,1,2,Optimal/Non-Expert
324,2.5,1,7,9,1,1,1.75,8,1,1,2,Optimal/Non-Expert
325,2.5,3,8,9,1.5,2,2.75,8.5,1.75,1,2,Optimal/Non-Expert
326,1,3,9,9,1,1,2,9,1,1,2,Optimal/Non-Expert
327,1,1,8,8,1,1,1,8,1,1,2,Optimal/Non-Expert
328,2,1.5,8,9,1,1,1.75,8.5,1,1,2,Optimal/Non-Expert
329,1,4,9,7,2,3.5,2.5,8,2.75,1,2,Optimal/Non-Expert
330,1,2,9,9,1,1.5,1.5,9,1.25,1,2,Optimal/Non-Expert
331,1,1.5,5,5,1,1,1.25,5,1,1,2,Optimal/Non-Expert
332,2,4,9,8,1,2,3,8.5,1.5,1,2,Optimal/Non-Expert
333,1.5,1,7,8,1,1,1.25,7.5,1,1,2,Optimal/Non-Expert
334,1,1,9,9,1,1,1,9,1,1,2,Optimal/Non-Expert
335,1.5,1,6,6,1.5,1.5,1.25,6,1.5,1,2,Optimal/Non-Expert
336,1,1,8,8,1,1,1,8,1,1,2,Optimal/Non-Expert
337,3,4.5,7,7,1,1,3.75,7,1,1,2,Optimal/Non-Expert
338,2,2.5,8,8,2,3,2.25,8,2.5,1,2,Optimal/Non-Expert
339,1,1,9,9,1,1,1,9,1,1,2,Optimal/Non-Expert
340,1,1,9,9,1,1,1,9,1,1,2,Optimal/Non-Expert
341,1,1,9,9,1,1,1,9,1,1,2,Optimal/Non-Expert
342,1.5,2,9,8,1.5,1.5,1.75,8.5,1.5,1,2,Optimal/Non-Expert
343,1,1,9,9,1,1,1,9,1,1,2,Optimal/Non-Expert
344,1,1,8,8,1,1,1,8,1,1,2,Optimal/Non-Expert
345,1,1.5,9,9,1,1,1.25,9,1,1,2,Optimal/Non-Expert
346,1.5,1.5,7,7,1.5,1.5,1.5,7,1.5,1,2,Optimal/Non-Expert
347,3,5,4,4,1,1,4,4,1,1,2,Optimal/Non-Expert
348,1,1,9,5,1,1,1,7,1,1,2,Optimal/Non-Expert
349,1,1,9,9,1,1,1,9,1,1,2,Optimal/Non-Expert
350,1.5,1.5,8,8,1.5,2,1.5,8,1.75,1,2,Optimal/Non-Expert
351,1.5,1.5,5,6,1,2,1.5,5.5,1.5,1,2,Optimal/Non-Expert
352,2,2,8,8,1.5,2,2,8,1.75,1,2,Optimal/Non-Expert
353,1,5,9,5,1,3,3,7,2,1,2,Optimal/Non-Expert
354,1,1,9,9,1,1,1,9,1,1,2,Optimal/Non-Expert
355,2.5,1,8,9,1,1,1.75,8.5,1,1,2,Optimal/Non-Expert
356,1,1,9,9,1,1,1,9,1,1,2,Optimal/Non-Expert
357,2,1.5,8,8,1,1,1.75,8,1,1,2,Optimal/Non-Expert
358,5,1,5,8,3.5,1.5,3,6.5,2.5,1,2,Optimal/Non-Expert
359,1,1,9,9,1,1,1,9,1,1,2,Optimal/Non-Expert
360,1.5,1.5,8,8,1.5,1.5,1.5,8,1.5,1,2,Optimal/Non-Expert
361,1.5,4.5,9,6,1.5,4.5,3,7.5,3,1,2,Optimal/Non-Expert
362,1.5,1,8,7,1,1,1.25,7.5,1,1,2,Optimal/Non-Expert
363,1,1,8,8,1,1,1,8,1,1,2,Optimal/Non-Expert
364,1,1,9,9,1,1,1,9,1,1,2,Optimal/Non-Expert
365,1,4,9,9,1,2,2.5,9,1.5,1,2,Optimal/Non-Expert
366,6.5,3.5,6,3,3.5,3,5,4.5,3.25,1,2,Optimal/Non-Expert
367,1,1,8,8,1,1,1,8,1,1,2,Optimal/Non-Expert
368,1,1,9,9,1,1,1,9,1,1,2,Optimal/Non-Expert
369,1,1,9,7,1,1,1,8,1,1,2,Optimal/Non-Expert
370,1,1,8,7,1,1,1,7.5,1,1,2,Optimal/Non-Expert
371,2,2,9,9,1,1,2,9,1,1,2,Optimal/Non-Expert
372,1,1,9,9,1,1,1,9,1,1,2,Optimal/Non-Expert
373,1,1,9,7,1,2,1,8,1.5,1,2,Optimal/Non-Expert
374,1,1,9,9,1,1,1,9,1,1,2,Optimal/Non-Expert
375,1,1.5,9,8,1,1,1.25,8.5,1,1,2,Optimal/Non-Expert
376,1.5,1,9,9,1,1,1.25,9,1,1,2,Optimal/Non-Expert
377,1,1,9,9,1,1,1,9,1,1,2,Optimal/Non-Expert
378,1,2,9,9,1.5,2,1.5,9,1.75,1,2,Optimal/Non-Expert
379,1,1,9,9,1,1,1,9,1,1,2,Optimal/Non-Expert
380,2.5,2,3,5,3,2,2.25,4,2.5,1,2,Optimal/Non-Expert
381,1.5,1.5,6,7,1,1,1.5,6.5,1,1,2,Optimal/Non-Expert
382,2,3.5,6,6,3,3.5,2.75,6,3.25,1,2,Optimal/Non-Expert
383,4.5,5,6,6,5.5,4.5,4.75,6,5,1,2,Optimal/Non-Expert
384,3.5,2.5,5,6,3,1.5,3,5.5,2.25,1,2,Optimal/Non-Expert
385,1,1,9,9,1,1,1,9,1,1,2,Optimal/Non-Expert
386,3.5,4.5,7,5,4,3,4,6,3.5,1,2,Optimal/Non-Expert
387,1,3.5,9,8,1,1,2.25,8.5,1,1,2,Optimal/Non-Expert
388,1,3,9,9,1,1,2,9,1,1,2,Optimal/Non-Expert
389,2.5,2,9,9,2,2.5,2.25,9,2.25,1,2,Optimal/Non-Expert
390,1,1,9,9,1,1,1,9,1,1,2,Optimal/Non-Expert
391,1.5,2,9,9,1.5,1.5,1.75,9,1.5,1,2,Optimal/Non-Expert
392,1,1,9,8,1,1,1,8.5,1,1,2,Optimal/Non-Expert
393,1,1,5,5,1,1,1,5,1,1,2,Optimal/Non-Expert
394,1,1,3,3,1,1,1,3,1,1,2,Optimal/Non-Expert
395,1,1,9,9,1,1,1,9,1,1,2,Optimal/Non-Expert
396,2.5,2,8,8,2,2,2.25,8,2,1,2,Optimal/Non-Expert
397,1,1,7,9,1,1,1,8,1,1,2,Optimal/Non-Expert
398,1,1,5,5,1,1,1,5,1,1,2,Optimal/Non-Expert
399,1.5,1,5,5,3,1.5,1.25,5,2.25,1,2,Optimal/Non-Expert
400,1,1,9,9,1,1,1,9,1,1,2,Optimal/Non-Expert
401,1,1,5,5,1,1,1,5,1,1,2,Optimal/Non-Expert
402,2.5,2.5,9,8,2,3,2.5,8.5,2.5,1,2,Optimal/Non-Expert
403,4,3,6,6,2.5,2.5,3.5,6,2.5,1,2,Optimal/Non-Expert
404,1,2,6,7,1,1,1.5,6.5,1,1,2,Optimal/Non-Expert
405,1.5,1,9,9,1,1,1.25,9,1,1,2,Optimal/Non-Expert
406,3.5,2.5,7,8,3,3,3,7.5,3,1,2,Optimal/Non-Expert
407,1.5,1,9,7,1,2,1.25,8,1.5,1,2,Optimal/Non-Expert
408,1,1,5,5,1,1,1,5,1,1,2,Optimal/Non-Expert
409,3.5,5,7,6,3,3,4.25,6.5,3,1,2,Optimal/Non-Expert
410,1,1,9,9,2,2,1,9,2,1,2,Optimal/Non-Expert
411,3,3,9,9,1,1,3,9,1,1,2,Optimal/Non-Expert
412,1,#NULL!,6,#NULL!,1,#NULL!,#NULL!,#NULL!,#NULL!,1,2,Optimal/Non-Expert
413,1,#NULL!,9,#NULL!,2,#NULL!,#NULL!,#NULL!,#NULL!,1,2,Optimal/Non-Expert
414,1,#NULL!,9,#NULL!,1,#NULL!,#NULL!,#NULL!,#NULL!,1,2,Optimal/Non-Expert
415,5,#NULL!,7,#NULL!,4,#NULL!,#NULL!,#NULL!,#NULL!,1,2,Optimal/Non-Expert
416,8,#NULL!,9,#NULL!,6,#NULL!,#NULL!,#NULL!,#NULL!,1,2,Optimal/Non-Expert
417,4,#NULL!,8,#NULL!,2,#NULL!,#NULL!,#NULL!,#NULL!,1,2,Optimal/Non-Expert
418,8,#NULL!,6,#NULL!,5.5,#NULL!,#NULL!,#NULL!,#NULL!,1,2,Optimal/Non-Expert
419,3,#NULL!,6,#NULL!,2.5,#NULL!,#NULL!,#NULL!,#NULL!,1,2,Optimal/Non-Expert
420,6,#NULL!,9,#NULL!,1,#NULL!,#NULL!,#NULL!,#NULL!,1,2,Optimal/Non-Expert
421,1.5,#NULL!,9,#NULL!,2.5,#NULL!,#NULL!,#NULL!,#NULL!,1,2,Optimal/Non-Expert
422,6,#NULL!,6,#NULL!,5,#NULL!,#NULL!,#NULL!,#NULL!,1,2,Optimal/Non-Expert
423,1.5,#NULL!,9,#NULL!,1,#NULL!,#NULL!,#NULL!,#NULL!,1,2,Optimal/Non-Expert
424,1.5,#NULL!,8,#NULL!,1,#NULL!,#NULL!,#NULL!,#NULL!,1,2,Optimal/Non-Expert
425,1,#NULL!,5,#NULL!,3.5,#NULL!,#NULL!,#NULL!,#NULL!,1,2,Optimal/Non-Expert
426,5,#NULL!,8,#NULL!,7,#NULL!,#NULL!,#NULL!,#NULL!,1,2,Optimal/Non-Expert
427,1,#NULL!,8,#NULL!,1,#NULL!,#NULL!,#NULL!,#NULL!,1,2,Optimal/Non-Expert
428,5,#NULL!,6,#NULL!,5,#NULL!,#NULL!,#NULL!,#NULL!,1,2,Optimal/Non-Expert
429,1,#NULL!,9,#NULL!,1,#NULL!,#NULL!,#NULL!,#NULL!,1,2,Optimal/Non-Expert
430,6.5,#NULL!,6,#NULL!,5.5,#NULL!,#NULL!,#NULL!,#NULL!,1,2,Optimal/Non-Expert
431,1,#NULL!,1,#NULL!,1,#NULL!,#NULL!,#NULL!,#NULL!,1,2,Optimal/Non-Expert
432,5.5,#NULL!,6,#NULL!,5,#NULL!,#NULL!,#NULL!,#NULL!,1,2,Optimal/Non-Expert
433,2.5,#NULL!,7,#NULL!,1,#NULL!,#NULL!,#NULL!,#NULL!,1,2,Optimal/Non-Expert
434,2,#NULL!,5,#NULL!,5.5,#NULL!,#NULL!,#NULL!,#NULL!,1,2,Optimal/Non-Expert
435,#NULL!,1,#NULL!,7,#NULL!,1,#NULL!,#NULL!,#NULL!,1,2,Optimal/Non-Expert
436,#NULL!,1,#NULL!,9,#NULL!,1,#NULL!,#NULL!,#NULL!,1,2,Optimal/Non-Expert
437,#NULL!,2.5,#NULL!,9,#NULL!,2,#NULL!,#NULL!,#NULL!,1,2,Optimal/Non-Expert
438,#NULL!,2,#NULL!,5,#NULL!,3.5,#NULL!,#NULL!,#NULL!,1,2,Optimal/Non-Expert
439,#NULL!,1.5,#NULL!,4,#NULL!,2,#NULL!,#NULL!,#NULL!,1,2,Optimal/Non-Expert
440,#NULL!,1,#NULL!,9,#NULL!,1,#NULL!,#NULL!,#NULL!,1,2,Optimal/Non-Expert
441,#NULL!,1,#NULL!,9,#NULL!,1,#NULL!,#NULL!,#NULL!,1,2,Optimal/Non-Expert
442,#NULL!,1,#NULL!,9,#NULL!,1,#NULL!,#NULL!,#NULL!,1,2,Optimal/Non-Expert
443,#NULL!,3,#NULL!,7,#NULL!,2,#NULL!,#NULL!,#NULL!,1,2,Optimal/Non-Expert
444,#NULL!,9,#NULL!,8,#NULL!,1.5,#NULL!,#NULL!,#NULL!,1,2,Optimal/Non-Expert
445,#NULL!,2,#NULL!,9,#NULL!,1.5,#NULL!,#NULL!,#NULL!,1,2,Optimal/Non-Expert
446,#NULL!,3,#NULL!,4,#NULL!,1.5,#NULL!,#NULL!,#NULL!,1,2,Optimal/Non-Expert
447,#NULL!,1,#NULL!,9,#NULL!,1,#NULL!,#NULL!,#NULL!,1,2,Optimal/Non-Expert
448,#NULL!,1,#NULL!,9,#NULL!,1,#NULL!,#NULL!,#NULL!,1,2,Optimal/Non-Expert
449,#NULL!,6.5,#NULL!,7,#NULL!,7,#NULL!,#NULL!,#NULL!,1,2,Optimal/Non-Expert
450,#NULL!,2,#NULL!,7,#NULL!,1,#NULL!,#NULL!,#NULL!,1,2,Optimal/Non-Expert
451,#NULL!,1,#NULL!,9,#NULL!,1,#NULL!,#NULL!,#NULL!,1,2,Optimal/Non-Expert
452,#NULL!,1,#NULL!,9,#NULL!,1,#NULL!,#NULL!,#NULL!,1,2,Optimal/Non-Expert
453,#NULL!,9,#NULL!,8,#NULL!,5,#NULL!,#NULL!,#NULL!,1,2,Optimal/Non-Expert
454,#NULL!,1,#NULL!,9,#NULL!,1,#NULL!,#NULL!,#NULL!,1,2,Optimal/Non-Expert
455,#NULL!,3.5,#NULL!,3,#NULL!,3,#NULL!,#NULL!,#NULL!,1,2,Optimal/Non-Expert
456,#NULL!,1,#NULL!,5,#NULL!,1,#NULL!,#NULL!,#NULL!,1,2,Optimal/Non-Expert
457,#NULL!,4,#NULL!,7,#NULL!,2,#NULL!,#NULL!,#NULL!,1,2,Optimal/Non-Expert
458,#NULL!,3.5,#NULL!,3,#NULL!,3,#NULL!,#NULL!,#NULL!,1,2,Optimal/Non-Expert
459,#NULL!,1,#NULL!,9,#NULL!,1,#NULL!,#NULL!,#NULL!,1,2,Optimal/Non-Expert
460,#NULL!,5,#NULL!,5,#NULL!,4,#NULL!,#NULL!,#NULL!,1,2,Optimal/Non-Expert
461,#NULL!,1,#NULL!,9,#NULL!,1,#NULL!,#NULL!,#NULL!,1,2,Optimal/Non-Expert
462,#NULL!,3,#NULL!,8,#NULL!,1.5,#NULL!,#NULL!,#NULL!,1,2,Optimal/Non-Expert
463,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,2,Optimal/Non-Expert
464,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,2,Optimal/Non-Expert
465,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,2,Optimal/Non-Expert
466,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,2,Optimal/Non-Expert
467,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,2,Optimal/Non-Expert
468,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,2,Optimal/Non-Expert
469,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,2,Optimal/Non-Expert
470,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,2,Optimal/Non-Expert
471,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,2,Optimal/Non-Expert
472,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,2,Optimal/Non-Expert
473,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,2,Optimal/Non-Expert
474,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,2,Optimal/Non-Expert
475,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,2,Optimal/Non-Expert
476,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,2,Optimal/Non-Expert
477,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,2,Optimal/Non-Expert
478,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,2,Optimal/Non-Expert
479,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,2,Optimal/Non-Expert
480,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,2,Optimal/Non-Expert
481,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,2,Optimal/Non-Expert
482,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,2,Optimal/Non-Expert
483,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,2,Optimal/Non-Expert
484,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,2,Optimal/Non-Expert
485,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,2,Optimal/Non-Expert
486,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,2,Optimal/Non-Expert
487,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,2,Optimal/Non-Expert
488,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,2,Optimal/Non-Expert
489,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,2,Optimal/Non-Expert
490,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,2,Optimal/Non-Expert
491,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,2,Optimal/Non-Expert
492,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,2,Optimal/Non-Expert
493,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,2,Optimal/Non-Expert
494,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,2,Optimal/Non-Expert
495,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,2,Optimal/Non-Expert
496,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,2,Optimal/Non-Expert
497,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,2,Optimal/Non-Expert
498,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,2,Optimal/Non-Expert
499,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,2,Optimal/Non-Expert
500,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,2,Optimal/Non-Expert
501,1,1,8,9,1,1,1,8.5,1,2,1,Suboptimal/Expert
502,3,2,5,6,2,2,2.5,5.5,2,2,1,Suboptimal/Expert
503,3.5,3.5,8,8,2,2,3.5,8,2,2,1,Suboptimal/Expert
504,2.5,2.5,9,9,1,1,2.5,9,1,2,1,Suboptimal/Expert
505,6,6,8,5,7,6,6,6.5,6.5,2,1,Suboptimal/Expert
506,1,1,9,9,1,1,1,9,1,2,1,Suboptimal/Expert
507,1,1,9,9,1,1,1,9,1,2,1,Suboptimal/Expert
508,8,8.5,8,8,6,7,8.25,8,6.5,2,1,Suboptimal/Expert
509,2,1.5,8,9,1.5,1.5,1.75,8.5,1.5,2,1,Suboptimal/Expert
510,1.5,1,9,9,1,1,1.25,9,1,2,1,Suboptimal/Expert
511,1,1,8,8,2,1.5,1,8,1.75,2,1,Suboptimal/Expert
512,5,5.5,7,7,1,1,5.25,7,1,2,1,Suboptimal/Expert
513,3,2,5,5,2.5,3,2.5,5,2.75,2,1,Suboptimal/Expert
514,4,2,9,9,1.5,2,3,9,1.75,2,1,Suboptimal/Expert
515,1,1,8,9,1,1,1,8.5,1,2,1,Suboptimal/Expert
516,2.5,2,7,7,1.5,1.5,2.25,7,1.5,2,1,Suboptimal/Expert
517,1,3,8,5,1,4,2,6.5,2.5,2,1,Suboptimal/Expert
518,3,1,7,7,4.5,3,2,7,3.75,2,1,Suboptimal/Expert
519,1,1,8,9,1,1,1,8.5,1,2,1,Suboptimal/Expert
520,1.5,1,9,9,1,1,1.25,9,1,2,1,Suboptimal/Expert
521,4,3,9,9,1,1,3.5,9,1,2,1,Suboptimal/Expert
522,1,1,9,9,1,1,1,9,1,2,1,Suboptimal/Expert
523,8.5,8,8,5,8,5,8.25,6.5,6.5,2,1,Suboptimal/Expert
524,4,4,9,9,3,4,4,9,3.5,2,1,Suboptimal/Expert
525,1.5,2.5,8,8,1,1,2,8,1,2,1,Suboptimal/Expert
526,1,1,8,8,1,1,1,8,1,2,1,Suboptimal/Expert
527,1,1.5,8,8,1,1,1.25,8,1,2,1,Suboptimal/Expert
528,1.5,1,9,9,1,1,1.25,9,1,2,1,Suboptimal/Expert
529,1.5,1,9,9,1,1,1.25,9,1,2,1,Suboptimal/Expert
530,2,2,7,7,5,5,2,7,5,2,1,Suboptimal/Expert
531,1,1,9,9,1,1,1,9,1,2,1,Suboptimal/Expert
532,5.5,5,5,5,7,7,5.25,5,7,2,1,Suboptimal/Expert
533,3,3.5,8,8,2,2.5,3.25,8,2.25,2,1,Suboptimal/Expert
534,1,2,9,5,1,1,1.5,7,1,2,1,Suboptimal/Expert
535,1,2,5,5,1.5,2,1.5,5,1.75,2,1,Suboptimal/Expert
536,1,1,9,9,1,1,1,9,1,2,1,Suboptimal/Expert
537,5.5,3,5,5,3,3,4.25,5,3,2,1,Suboptimal/Expert
538,1,1,5,5,1,1,1,5,1,2,1,Suboptimal/Expert
539,1,1,9,9,1,1,1,9,1,2,1,Suboptimal/Expert
540,1,3.5,9,7,1,3,2.25,8,2,2,1,Suboptimal/Expert
541,1,2,9,8,1.5,2,1.5,8.5,1.75,2,1,Suboptimal/Expert
542,3,7,1,1,1,3,5,1,2,2,1,Suboptimal/Expert
543,5,4,8,6,2.5,5,4.5,7,3.75,2,1,Suboptimal/Expert
544,1,1,9,9,1,1,1,9,1,2,1,Suboptimal/Expert
545,1,1,9,7,1,1,1,8,1,2,1,Suboptimal/Expert
546,1,1,9,9,1,1,1,9,1,2,1,Suboptimal/Expert
547,2,1.5,8,9,2,2,1.75,8.5,2,2,1,Suboptimal/Expert
548,6,5,9,9,1,1,5.5,9,1,2,1,Suboptimal/Expert
549,2,1,5,9,2.5,1.5,1.5,7,2,2,1,Suboptimal/Expert
550,5.5,5,7,7,4.5,4,5.25,7,4.25,2,1,Suboptimal/Expert
551,3,1,9,9,1,1,2,9,1,2,1,Suboptimal/Expert
552,1,1,9,9,1,1,1,9,1,2,1,Suboptimal/Expert
553,1,1,8,8,5.5,7,1,8,6.25,2,1,Suboptimal/Expert
554,5.5,4,4,5,5,5,4.75,4.5,5,2,1,Suboptimal/Expert
555,5.5,5,5,5,1,2,5.25,5,1.5,2,1,Suboptimal/Expert
556,2.5,4,8,7,3,4,3.25,7.5,3.5,2,1,Suboptimal/Expert
557,1.5,2,6,6,2.5,2.5,1.75,6,2.5,2,1,Suboptimal/Expert
558,1.5,1,8,8,1,1,1.25,8,1,2,1,Suboptimal/Expert
559,1,4,8,8,3,3.5,2.5,8,3.25,2,1,Suboptimal/Expert
560,3.5,1,1,5,1.5,1,2.25,3,1.25,2,1,Suboptimal/Expert
561,4.5,2.5,7,8,3,2,3.5,7.5,2.5,2,1,Suboptimal/Expert
562,1,1,7,7,1,1,1,7,1,2,1,Suboptimal/Expert
563,8,9,3,1,6.5,8.5,8.5,2,7.5,2,1,Suboptimal/Expert
564,7,9,8,5,5,4.5,8,6.5,4.75,2,1,Suboptimal/Expert
565,5,5,5,6,3,2.5,5,5.5,2.75,2,1,Suboptimal/Expert
566,1,1,9,9,1,1,1,9,1,2,1,Suboptimal/Expert
567,9,8,1,3,6,4.5,8.5,2,5.25,2,1,Suboptimal/Expert
568,2,2,9,9,2,2,2,9,2,2,1,Suboptimal/Expert
569,2,1,8,9,1,1,1.5,8.5,1,2,1,Suboptimal/Expert
570,1,1,9,9,1,1,1,9,1,2,1,Suboptimal/Expert
571,1,1,9,9,1,1,1,9,1,2,1,Suboptimal/Expert
572,2,5.5,8,7,1,1,3.75,7.5,1,2,1,Suboptimal/Expert
573,3,3.5,7,8,2.5,3.5,3.25,7.5,3,2,1,Suboptimal/Expert
574,1.5,1.5,8,8,1.5,1,1.5,8,1.25,2,1,Suboptimal/Expert
575,2,2,8,9,1.5,1,2,8.5,1.25,2,1,Suboptimal/Expert
576,5.5,5.5,8,7,6,6,5.5,7.5,6,2,1,Suboptimal/Expert
577,7,8,8,8,4,5,7.5,8,4.5,2,1,Suboptimal/Expert
578,1,4.5,9,9,1,1.5,2.75,9,1.25,2,1,Suboptimal/Expert
579,1.5,1,9,9,1,1,1.25,9,1,2,1,Suboptimal/Expert
580,1,1,8,8,1,1,1,8,1,2,1,Suboptimal/Expert
581,6.5,4,7,9,5,3,5.25,8,4,2,1,Suboptimal/Expert
582,4.5,3,8,9,4.5,2.5,3.75,8.5,3.5,2,1,Suboptimal/Expert
583,2.5,2.5,9,9,2,1,2.5,9,1.5,2,1,Suboptimal/Expert
584,5,5,9,9,2,2,5,9,2,2,1,Suboptimal/Expert
585,6.5,6,4,4,4,5,6.25,4,4.5,2,1,Suboptimal/Expert
586,1,2.5,5,5,1,1,1.75,5,1,2,1,Suboptimal/Expert
587,1,1,9,9,1,1,1,9,1,2,1,Suboptimal/Expert
588,1,1,5,5,1,1,1,5,1,2,1,Suboptimal/Expert
589,1,1,9,9,1,1,1,9,1,2,1,Suboptimal/Expert
590,1,1,5,5,1,1,1,5,1,2,1,Suboptimal/Expert
591,2,1.5,9,9,1,1.5,1.75,9,1.25,2,1,Suboptimal/Expert
592,2,2,5,5,2,1,2,5,1.5,2,1,Suboptimal/Expert
593,1,1,9,9,1,1,1,9,1,2,1,Suboptimal/Expert
594,4.5,3,9,9,1.5,1,3.75,9,1.25,2,1,Suboptimal/Expert
595,1,1,9,9,1,1,1,9,1,2,1,Suboptimal/Expert
596,2,2,9,8,2,2,2,8.5,2,2,1,Suboptimal/Expert
597,1.5,1.5,7,9,1.5,2,1.5,8,1.75,2,1,Suboptimal/Expert
598,1.5,1,8,8,1,1,1.25,8,1,2,1,Suboptimal/Expert
599,9,9,1,1,9,9,9,1,9,2,1,Suboptimal/Expert
600,1,1,9,9,1,1,1,9,1,2,1,Suboptimal/Expert
601,2,1,5,5,1,1,1.5,5,1,2,1,Suboptimal/Expert
602,2,2,8,8,2,2,2,8,2,2,1,Suboptimal/Expert
603,2,1,7,7,1,1,1.5,7,1,2,1,Suboptimal/Expert
604,1,5.5,9,8,2,4.5,3.25,8.5,3.25,2,1,Suboptimal/Expert
