SubjectNo,Isl_pk1,Isl_pk2,isl_exp,isl_bl1,isl_bl2,isl_check1,isl_check2,ship_pk1,ship_pk2,ship_exp,ship_bl1,ship_bl2,ship_check1,ship_check2,isl_expert,ship_expert,age,gender,ethnicity,political,choice,choice_d,choice_m,expert,expert_d,expert_m,order_first,fir_pk1,fir_pk2,fir_exp,fir_bl1,fir_bl2,isl_pkc,ship_pkc,fir_pkc,isl_blc,ship_blc,fir_blc,both_blc,both_pkc,both_exp,both_pk1,both_pk2,both_bl1,both_bl2
632.00,1,3,9,1,1,1,2,1,5,9,1,2,1,2,1,1,23,2,1,0,2,0.00,-0.50,2,0.00,-0.50,2,1,5,9,1,2,2.00,3.00,3.00,1.00,1.50,1.50,1.25,2.50,9.00,1.00,4.00,1.00,1.50
633.00,7,9,5,7,5,1,2,1,7,5,2,1,1,2,6,6,40,2,2,2,2,0.00,-0.50,1,1.00,0.50,1,7,9,5,7,5,8.00,4.00,8.00,6.00,1.50,6.00,3.75,6.00,5.00,4.00,8.00,4.50,3.00
634.00,3,2,6,2,2,1,2,2,2,7,1,2,1,2,9,9,19,1,1,2,2,0.00,-0.50,1,1.00,0.50,2,2,2,7,1,2,2.50,2.00,2.00,2.00,1.50,1.50,1.75,2.25,6.50,2.50,2.00,1.50,2.00
635.00,3,1,7,1,1,1,2,2,2,7,1,1,1,2,1,1,27,1,2,4,2,0.00,-0.50,2,0.00,-0.50,1,3,1,7,1,1,2.00,2.00,2.00,1.00,1.00,1.00,1.00,2.00,7.00,2.50,1.50,1.00,1.00
636.00,1,1,9,1,2,1,2,1,1,9,1,2,1,2,7,8,20,2,5,2,2,0.00,-0.50,1,1.00,0.50,1,1,1,9,1,2,1.00,1.00,1.00,1.50,1.50,1.50,1.50,1.00,9.00,1.00,1.00,1.00,2.00
637.00,1,1,5,1,1,1,2,1,1,7,1,1,1,2,1,1,34,2,2,2,2,0.00,-0.50,2,0.00,-0.50,1,1,1,5,1,1,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,6.00,1.00,1.00,1.00,1.00
638.00,3,1,8,1,1,1,2,2,1,8,1,1,1,2,1,2,28,2,5,6,2,0.00,-0.50,2,0.00,-0.50,2,2,1,8,1,1,2.00,1.50,1.50,1.00,1.00,1.00,1.00,1.75,8.00,2.50,1.00,1.00,1.00
639.00,2,3,7,1,2,1,2,1,2,8,1,2,1,2,1,1,20,2,2,1,2,0.00,-0.50,2,0.00,-0.50,2,1,2,8,1,2,2.50,1.50,1.50,1.50,1.50,1.50,1.50,2.00,7.50,1.50,2.50,1.00,2.00
640.00,1,1,3,1,1,1,2,1,1,2,1,1,1,2,9,9,23,2,5,0,2,0.00,-0.50,1,1.00,0.50,1,1,1,3,1,1,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,2.50,1.00,1.00,1.00,1.00
641.00,1,1,9,1,1,1,2,2,7,6,5,3,1,2,1,1,26,1,2,3,2,0.00,-0.50,2,0.00,-0.50,2,2,7,6,5,3,1.00,4.50,4.50,1.00,4.00,4.00,2.50,2.75,7.50,1.50,4.00,3.00,2.00
642.00,9,9,1,9,7,1,2,9,9,1,7,5,1,2,5,5,40,1,3,5,2,0.00,-0.50,1,1.00,0.50,1,9,9,1,9,7,9.00,9.00,9.00,8.00,6.00,8.00,7.00,9.00,1.00,9.00,9.00,8.00,6.00
643.00,4,6,3,4,3,1,2,4,3,6,2,2,1,2,1,1,23,1,2,8,2,0.00,-0.50,2,0.00,-0.50,1,4,6,3,4,3,5.00,3.50,5.00,3.50,2.00,3.50,2.75,4.25,4.50,4.00,4.50,3.00,2.50
644.00,3,5,7,1,3,1,2,6,7,7,3,3,1,2,7,8,20,1,1,3,2,0.00,-0.50,1,1.00,0.50,1,3,5,7,1,3,4.00,6.50,4.00,2.00,3.00,2.00,2.50,5.25,7.00,4.50,6.00,2.00,3.00
645.00,5,6,5,5,3,1,2,5,6,5,4,2,1,2,8,8,25,1,7,1,2,0.00,-0.50,1,1.00,0.50,1,5,6,5,5,3,5.50,5.50,5.50,4.00,3.00,4.00,3.50,5.50,5.00,5.00,6.00,4.50,2.50
646.00,7,6,9,1,1,1,2,1,1,9,1,1,1,2,1,1,27,1,2,0,2,0.00,-0.50,2,0.00,-0.50,1,7,6,9,1,1,6.50,1.00,6.50,1.00,1.00,1.00,1.00,3.75,9.00,4.00,3.50,1.00,1.00
647.00,1,5,9,1,1,1,2,1,5,9,1,1,1,2,1,1,27,2,5,4,2,0.00,-0.50,2,0.00,-0.50,1,1,5,9,1,1,3.00,3.00,3.00,1.00,1.00,1.00,1.00,3.00,9.00,1.00,5.00,1.00,1.00
648.00,3,3,4,1,1,1,2,1,1,2,1,1,1,2,5,4,60,2,2,0,2,0.00,-0.50,1,1.00,0.50,1,3,3,4,1,1,3.00,1.00,3.00,1.00,1.00,1.00,1.00,2.00,3.00,2.00,2.00,1.00,1.00
649.00,4,1,9,1,1,1,2,1,2,6,2,1,1,2,1,1,23,2,2,2,2,0.00,-0.50,2,0.00,-0.50,2,1,2,6,2,1,2.50,1.50,1.50,1.00,1.50,1.50,1.25,2.00,7.50,2.50,1.50,1.50,1.00
650.00,2,2,7,2,2,1,2,5,3,3,2,2,1,2,7,7,36,2,7,3,2,0.00,-0.50,1,1.00,0.50,2,5,3,3,2,2,2.00,4.00,4.00,2.00,2.00,2.00,2.00,3.00,5.00,3.50,2.50,2.00,2.00
651.00,4,4,8,2,1,1,2,4,6,6,2,1,1,2,9,9,63,1,2,4,2,0.00,-0.50,1,1.00,0.50,1,4,4,8,2,1,4.00,5.00,4.00,1.50,1.50,1.50,1.50,4.50,7.00,4.00,5.00,2.00,1.00
652.00,1,1,9,1,2,1,2,1,1,9,1,3,1,2,1,1,33,1,2,8,2,0.00,-0.50,2,0.00,-0.50,2,1,1,9,1,3,1.00,1.00,1.00,1.50,2.00,2.00,1.75,1.00,9.00,1.00,1.00,1.00,2.50
653.00,1,1,9,1,1,1,2,1,1,9,1,1,1,2,1,1,27,2,2,9,2,0.00,-0.50,2,0.00,-0.50,1,1,1,9,1,1,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,9.00,1.00,1.00,1.00,1.00
654.00,3,2,8,2,2,1,2,2,2,8,1,1,1,2,1,1,25,2,3,1,2,0.00,-0.50,2,0.00,-0.50,1,3,2,8,2,2,2.50,2.00,2.50,2.00,1.00,2.00,1.50,2.25,8.00,2.50,2.00,1.50,1.50
655.00,2,3,8,2,2,1,2,3,5,8,2,1,1,2,6,4,19,1,1,6,2,0.00,-0.50,2,0.00,-0.50,2,3,5,8,2,1,2.50,4.00,4.00,2.00,1.50,1.50,1.75,3.25,8.00,2.50,4.00,2.00,1.50
656.00,1,1,9,1,1,1,2,1,1,9,1,1,1,2,7,9,21,1,2,4,2,0.00,-0.50,1,1.00,0.50,1,1,1,9,1,1,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,9.00,1.00,1.00,1.00,1.00
657.00,5,1,6,2,2,1,2,1,8,7,3,1,1,2,1,1,41,2,2,8,2,0.00,-0.50,2,0.00,-0.50,2,1,8,7,3,1,3.00,4.50,4.50,2.00,2.00,2.00,2.00,3.75,6.50,3.00,4.50,2.50,1.50
658.00,1,1,9,1,1,1,2,7,1,5,2,2,1,2,1,1,21,1,5,6,2,0.00,-0.50,2,0.00,-0.50,1,1,1,9,1,1,1.00,4.00,1.00,1.00,2.00,1.00,1.50,2.50,7.00,4.00,1.00,1.50,1.50
659.00,3,3,9,1,1,1,2,1,1,9,1,1,1,2,9,9,41,1,2,3,2,0.00,-0.50,1,1.00,0.50,1,3,3,9,1,1,3.00,1.00,3.00,1.00,1.00,1.00,1.00,2.00,9.00,2.00,2.00,1.00,1.00
660.00,6,9,5,6,7,1,2,3,6,9,6,6,1,2,9,9,33,2,2,0,2,0.00,-0.50,1,1.00,0.50,1,6,9,5,6,7,7.50,4.50,7.50,6.50,6.00,6.50,6.25,6.00,7.00,4.50,7.50,6.00,6.50
661.00,2,2,8,2,2,1,2,2,2,8,2,2,1,2,9,8,31,2,2,10,2,0.00,-0.50,1,1.00,0.50,1,2,2,8,2,2,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,8.00,2.00,2.00,2.00,2.00
662.00,4,5,6,3,3,1,2,4,4,5,5,5,1,2,3,3,48,2,2,7,2,0.00,-0.50,2,0.00,-0.50,1,4,5,6,3,3,4.50,4.00,4.50,3.00,5.00,3.00,4.00,4.25,5.50,4.00,4.50,4.00,4.00
663.00,1,1,9,3,1,1,2,1,1,9,2,1,1,2,7,7,28,1,2,0,2,0.00,-0.50,1,1.00,0.50,1,1,1,9,3,1,1.00,1.00,1.00,2.00,1.50,2.00,1.75,1.00,9.00,1.00,1.00,2.50,1.00
664.00,4,5,5,2,2,1,2,5,5,6,3,1,1,2,9,7,48,2,2,5,2,0.00,-0.50,1,1.00,0.50,2,5,5,6,3,1,4.50,5.00,5.00,2.00,2.00,2.00,2.00,4.75,5.50,4.50,5.00,2.50,1.50
665.00,4,5,5,3,3,1,2,5,5,6,4,5,1,2,3,3,27,1,5,5,2,0.00,-0.50,2,0.00,-0.50,1,4,5,5,3,3,4.50,5.00,4.50,3.00,4.50,3.00,3.75,4.75,5.50,4.50,5.00,3.50,4.00
666.00,5,1,9,1,1,1,2,5,5,9,1,1,1,2,1,1,22,3,5,0,2,0.00,-0.50,2,0.00,-0.50,2,5,5,9,1,1,3.00,5.00,5.00,1.00,1.00,1.00,1.00,4.00,9.00,5.00,3.00,1.00,1.00
667.00,1,2,8,3,3,1,2,2,2,8,2,2,1,2,9,9,22,2,2,0,2,0.00,-0.50,1,1.00,0.50,1,1,2,8,3,3,1.50,2.00,1.50,3.00,2.00,3.00,2.50,1.75,8.00,1.50,2.00,2.50,2.50
668.00,1,3,9,5,1,1,2,1,1,9,1,1,1,2,1,1,23,1,2,10,2,0.00,-0.50,2,0.00,-0.50,1,1,3,9,5,1,2.00,1.00,2.00,3.00,1.00,3.00,2.00,1.50,9.00,1.00,2.00,3.00,1.00
669.00,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,59,1,2,7,2,0.00,-0.50,2,0.00,-0.50,1,1,1,1,1,1,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
670.00,1,1,9,1,1,1,2,1,1,9,1,1,1,2,1,1,52,2,2,7,2,0.00,-0.50,2,0.00,-0.50,2,1,1,9,1,1,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,9.00,1.00,1.00,1.00,1.00
